,composer,year_birth,year_death,place_birth,place_death,clean_name,c_birth
0,"Aav, Evald",1900.0,1939.0,reval,tallinn,"Aav, Evald",Estonia
1,"Abbà Cornaglia, Pietro",1851.0,1894.0,alessandria,alessandria,"Abbà Cornaglia, Pietro",Italy
4,"Abbadia, Natale",1792.0,1861.0,genova,milano,"Abbadia, Natale",Italy
6,"Abbatini, Antonio Maria",1597.0,1679.0,tiferno,tiferno,"Abbatini, Antonio Maria",
9,"Abeille, (Johann Christian) Ludwig",1761.0,1838.0,bayreuth,stuttgart,"Abeille, Ludwig",Germany
11,"Abert, Johann Joseph",1832.0,1915.0,kochowitz,stuttgart,"Abert, Johann Joseph",
15,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",1715.0,1760.0,valetta,napoli,"Abos, Girolamo",Malta
33,"Abraham [Ábráham], Paul [Pál]",1892.0,1960.0,apatin,hamburg,"Abraham, Paul",Serbia
39,"Abramsky, Alexander",1898.0,1985.0,lutsk,,"Abramsky, Alexander",Ukraine
40,"Ábrányi, Emil",1882.0,1882.0,budapest,budapest,"Ábrányi, Emil",Hungary
52,"Absil, Jean",1893.0,1974.0,bonsecours,uccle,"Absil, Jean",USA
53,"Abt, Franz (Wilhelm)",1819.0,1885.0,eilenburg,wiesbaden,"Abt, Franz",Germany
56,"Acciaiuoli, Filippo",1637.0,1700.0,roma,roma,"Acciaiuoli, Filippo",Italy
57,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",1739.0,1818.0,roma,roma,"Accorimboni, Agostino",Italy
70,"Aceves y Lozano, Rafael",1837.0,1876.0,la,madrid,"Aceves y Lozano, Rafael",USA
75,"Acton, Carlo [Charles]",1829.0,1909.0,napoli,portici,"Acton, Carlo",USA
77,"Adalid y Gurréa, Marcial del",1826.0,1881.0,la,lóngora,"Adalid y Gurréa, Marcial del",USA
78,"Adam, Adolphe(-Charles)",1803.0,1856.0,paris,paris,"Adam, Adolphe",France
122,"Ádám, Jenö",1896.0,1982.0,szigetszentmiklós,budapest,"Ádám, Jenö",Hungary
124,"Adamo, Mark",1962.0,1962.0,philadelphia,philadelphia,"Adamo, Mark",USA
126,"Adams, John (Coolidge)",1947.0,1947.0,worcester,worcester,"Adams, John",USA
130,"Adams, (Harrison) Leslie",1932.0,1932.0,cleveland,cleveland,"Adams, Leslie",USA
131,"Adaskin, Murray",1906.0,2002.0,toronto,victoria,"Adaskin, Murray",Canada
132,"Addison, John",1766.0,1844.0,london,london,"Addison, John",UK
138,"Adelburg, August",1830.0,1873.0,ritter,wien,"Adelburg, August",USA
141,"Adler, Samuel (Hans)",1928.0,1928.0,mannheim,mannheim,"Adler, Samuel",Germany
145,"Adlgasser, Anton Cajetan",1729.0,1777.0,inzell,salzburg,"Adlgasser, Anton Cajetan",Germany
146,"Adolfati, Andrea",1721.0,1760.0,venezia,padova,"Adolfati, Andrea",Italy
156,"Adomián, Lan",1905.0,1979.0,mogilev,méxico,"Adomián, Lan",Belarus
157,"Adrien, Ferdinand",1770.0,1830.0,,,"Adrien, Ferdinand",Thailand
158,"Adrien, J.",1768.0,1824.0,,,"Adrien, J.",Thailand
159,"Aeschbacher, Niklaus",1917.0,1917.0,trogen,trogen,"Aeschbacher, Niklaus",Switzerland
160,"Afanas'yev, Nikolay Yakovlevich",1821.0,1898.0,tobolk,st,"Afanasyev, Nikolay Yakovlevich",Russia
165,"Agazzari, Agostino",1578.0,1640.0,siena,siena,"Agazzari, Agostino",Italy
166,"Aggházy, Károly",1855.0,1855.0,pest,pest,"Aggházy, Károly",USA
167,"Agnelli [Agnello], Salvatore",1817.0,1874.0,palermo,marseilles,"Agnelli, Salvatore",Italy
172,"Agnesi, Maria Teresa",1720.0,1795.0,milano,milano,"Agnesi, Maria Teresa",Italy
179,"Agostini, Mezio",1875.0,1944.0,fano,fano,"Agostini, Mezio",Italy
187,"Agostini [Augustini], Pietro Simone [Piersimone]",1635.0,1680.0,forli,parma,"Agostini, Pietro Simone",Italy
196,"Agricola, Johann Friedrich",1720.0,1774.0,dobitzschen,berlin,"Agricola, Johann Friedrich",Germany
206,"Agricola, Johann Paul",1638.0,1697.0,hilpoltstein,neuburg,"Agricola, Johann Paul",Germany
209,"Agthe, Carl Christian",1762.0,1797.0,hettstedt,ballenstedt,"Agthe, Carl Christian",Germany
216,"Ahlefeldt,",,,gräfin,gräfin,"Ahlefeldt,",USA
218,"Ahlstrom, David",1927.0,1927.0,lancaster,lancaster,"Ahlstrom, David",USA
221,"Ahlström, Jacob Niclas",1805.0,1857.0,visby,stockholm,"Ahlström, Jacob Niclas",Sweden
223,"Åhlström, Olof",1756.0,1835.0,åletorp,stockholm,"Åhlström, Olof",
224,"Aho, Kalevi",1949.0,1949.0,forssa,forssa,"Aho, Kalevi",Finland
225,"Aiblinger, Johann Kaspar",1779.0,1867.0,wasserburg,münchen,"Aiblinger, Johann Kaspar",Germany
227,"Aimon, (Pamphile Léopold) François",1779.0,1866.0,lisle,paris,"Aimon, François",USA
228,"Aitken, Hugh",1924.0,1924.0,new,new,"Aitken, Hugh",USA
230,"Åkerberg, (Carl) Erik (Emanuel)",1860.0,1938.0,stockholm,stockholm,"Åkerberg, Erik",Sweden
232,"Akimenko [Yakimenko], Fyodor Stepanovich",1876.0,1945.0,khar,paris,"Akimenko, Fyodor Stepanovich",India
233,"Akses, Necil Kâzim",1908.0,1999.0,constantinople,istanbul,"Akses, Necil Kâzim",Turkey
235,"Akutagawa, Yasushi",1925.0,1989.0,tokyo,tokyo,"Akutagawa, Yasushi",Japan
237,"Alaleona, Domenico",1881.0,1928.0,montegiorgio,montegiorgio,"Alaleona, Domenico",Italy
238,"Alary, Jules [Giulio] Eugène Abraham",1814.0,1891.0,mantova,paris,"Alary, Jules Eugène Abraham",Italy
243,"Albéniz, Isaac (Manuel Francisco",1860.0,1909.0,camprodón,cambô,"Albéniz, Isaac Manuel Francisco",Spain
254,"Albéniz y Basanta, Pedro",1795.0,1855.0,logroño,madrid,"Albéniz y Basanta, Pedro",Spain
255,"Albergati (Capacelli), Pirro",1663.0,1735.0,conte,bologna,"Albergati, Pirro",USA
258,"d'Albert, Eugen [Eugène] (Francis Charles)",1864.0,1932.0,glasgow,riga,"dAlbert, Eugen",UK
279,"Albert, Karel",1901.0,1987.0,antwerpen,liedekerke,"Albert, Karel",Belgium
280,"Alberti, Domenico",1710.0,1740.0,venezia,formio,"Alberti, Domenico",Italy
284,"Albertini, Joachim [Gioacchino]",1749.0,1812.0,pesaro,warszawa,"Albertini, Joachim",Italy
291,"Albertsen, Per (Hjort)",1919.0,1919.0,trondheim,trondheim,"Albertsen, Per",Norway
292,"Albinoni, Tomaso Giovanni [Zuane]",1671.0,1751.0,venezia,venezia,"Albinoni, Tomaso Giovanni",Italy
349,"Alday, François",,,,,"Alday, François",Thailand
350,"Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)",1671.0,1707.0,bologna,bologna,"Aldrovandini, Giuseppe",Italy
373,"Alessandri, Felice",1747.0,1798.0,roma,casinalbo,"Alessandri, Felice",Italy
407,"d'Alessandro [Alessandri], Gennaro",,,,,"dAlessandro, Gennaro",Thailand
409,"Alexandra, Liana",1947.0,1947.0,bucuresti,bucuresti,"Alexandra, Liana",Romania
410,"Alexandre [Alessandro], Charles-Guillaume",1735.0,1787.0,,paris,"Alexandre, Charles-Guillaume",Thailand
417,"Alexandrov, Anatoly Nikolayevich",1888.0,1982.0,moskva,moskva,"Alexandrov, Anatoly Nikolayevich",Russia
419,"Alfano, Franco",1875.0,1954.0,posillipo,san,"Alfano, Franco",Italy
432,"Alferaki, Achilles",1846.0,1919.0,kharkov,petrograd,"Alferaki, Achilles",Ukraine
433,"Alfiero [Alfieri], Giuseppe",1630.0,1665.0,napoli,napoli,"Alfiero, Giuseppe",USA
435,"Alghisi [Algisi], Paris Francesco",1666.0,1733.0,brescia,brescia,"Alghisi, Paris Francesco",Italy
437,"Aliprandi, Bernardo",1710.0,1792.0,milano,frankfurt,"Aliprandi, Bernardo",Italy
441,"Allanbrook, Douglas",1921.0,1921.0,melrose,melrose,"Allanbrook, Douglas",USA
443,"Allen, Paul Hastings",1883.0,1883.0,hyde,hyde,"Allen, Paul Hastings",USA
444,"Allende(-Sarón), (Pedro) Humberto",1885.0,1959.0,santiago,santiago,"Allende, Humberto",Chile
445,"Allitsen [Bumpus], (Mary) Frances",1848.0,1912.0,london,london,"Allitsen, Frances",UK
447,"Almeida, Francisco António de",1702.0,1755.0,lisboa,lisboa,"Almeida, Francisco António de",Portugal
452,"Alonso-Crespo, Eduardo",,,,,"Alonso-Crespo, Eduardo",Thailand
455,"Alpaerts, Flor",1876.0,1954.0,antwerpen,antwerpen,"Alpaerts, Flor",Belgium
456,"Alsina, Carlos Roqué",1941.0,1941.0,buenos,buenos,"Alsina, Carlos Roqué",Argentina
457,"Alveri, Giovanni Battista",1660.0,1719.0,bologna,,"Alveri, Giovanni Battista",Italy
459,"Alyabyev [Aliabiyev], Alexander Nilolaievich",1787.0,1851.0,tobolsk,moskva,"Alyabyev, Alexander Nilolaievich",Russia
466,"Amadei [Mattei], Filippo",,,,,"Amadei, Filippo",Thailand
469,"Amalia Friederike,",,,fürstin,fürstin,"Amalia Friederike,",
474,"Amato [D'Amato. De Amato, Di Amato], Vincenzo",1629.0,1670.0,ciminna,palermo,"Amato, Vincenzo",Italy
476,"Ambros, Vladimir",1890.0,1956.0,prostejov,prostejov,"Ambros, Vladimir",Czechia
478,"d'Ambrosio, Alfredo",1871.0,1914.0,napoli,nice,"dAmbrosio, Alfredo",USA
479,"Amellér, André (Charles Gabriel)",1912.0,1990.0,arnaville,garenne,"Amellér, André",France
483,"Amendola, Giuseppe",1750.0,1808.0,palermo,palermo,"Amendola, Giuseppe",Italy
484,"Amirov, Fikret (Meshadi Dzhamil')",1922.0,1984.0,gyandzha,baku,"Amirov, Fikret",Azerbaijan
486,"Amodei, Cataldo",1650.0,1695.0,sciacca,napoli,"Amodei, Cataldo",Italy
487,"Amon, Johannes Andreas",1763.0,1825.0,bamberg,wallerstein,"Amon, Johannes Andreas",Germany
488,"Amram, David (Werner, III)",1930.0,1930.0,philadelphia,philadelphia,"Amram, David",USA
490,"Anderberg, Carl-Olof",1914.0,1972.0,stockholm,malmö,"Anderberg, Carl-Olof",Sweden
491,"Anders, Hendrik",1657.0,1714.0,oberweissbach,amsterdam,"Anders, Hendrik",Germany
494,"Anderson, Beth",1950.0,1950.0,lexington,lexington,"Anderson, Beth",USA
496,"Anderson, T(homas) J(efferson, Jr.)",1928.0,1928.0,coatesville,coatesville,"Anderson, T J",USA
498,"Andrasovan, Tibor",1917.0,1917.0,slovenská,slovenská,"Andrasovan, Tibor",Slovakia
502,"André, Johann {Jean]",1741.0,1799.0,offenbach,offenbach,"André, Johann {Jean",Germany
521,"André, Johann Anton",1775.0,1842.0,offenbach,offenbach,"André, Johann Anton",Germany
523,"Andreae, Volkmar",1879.0,1962.0,bern,zürich,"Andreae, Volkmar",Switzerland
525,"Andrée, Elfrida",1841.0,1929.0,visby,göteborg,"Andrée, Elfrida",Sweden
526,"Andreozzi, Gaetano",1755.0,1826.0,aversa,paris,"Andreozzi, Gaetano",Italy
570,"Andries, Jean",1798.0,1872.0,ghent,ghent,"Andries, Jean",Belgium
571,"Andriessen, Hendrik",1892.0,1981.0,haarlem,heemstede,"Andriessen, Hendrik",Netherlands
574,"Andriessen, Jurriaan",1925.0,1925.0,haarlem,haarlem,"Andriessen, Jurriaan",Netherlands
576,"Anfossi, Pasquale",1727.0,1797.0,taggia,roma,"Anfossi, Pasquale",Italy
651,"d'Angeli, Andrea",1868.0,1940.0,padova,st,"dAngeli, Andrea",Italy
656,"Angelo, Gioacchino",1899.0,1971.0,palermo,roma,"Angelo, Gioacchino",Italy
665,"Angeloni, Carlo",1834.0,1901.0,lucca,lucca,"Angeloni, Carlo",Italy
669,"Angerer, Paul",1927.0,1927.0,wien,wien,"Angerer, Paul",Austria
670,"Anna Amalia [Amalie],",1739.0,1807.0,herzogin,weimar,"Anna Amalia,",
672,"Antheil, George [Georg] (Johann Carl)",1900.0,1959.0,trenton,new,"Antheil, George",USA
680,"Antill, John (Henry)",1904.0,1986.0,sydney,sydney,"Antill, John",Australia
683,"Antoine [Anthoin], Ferdinand d'",,,,,"Antoine, Ferdinand d",Thailand
689,Anton (Clemens Theodor),1755.0,1836.0,von,dresden,Anton,USA
694,"Antoni, Antonio d'",1801.0,1859.0,palermo,trieste,"Antoni, Antonio d",Italy
699,"Antunes, Jorge",1942.0,1942.0,rio,rio,"Antunes, Jorge",Brazil
700,"Apell [Capelli], David August von",1754.0,1832.0,kassel,kassel,"Apell, David August von",Germany
703,"Aperghis, Georges",1945.0,1945.0,athinai,athinai,"Aperghis, Georges",Greece
707,"ApIvor, Denis",1916.0,2004.0,collinstown,robertsbridge,"ApIvor, Denis",Ireland
712,"Apolloni [Appoloni, Appolini], Salvatore [Salvadore]",1704.0,,venezia,,"Apolloni, Salvatore",Italy
716,"Araia [Araja], Francesco",1709.0,1770.0,napoli,bologna,"Araia, Francesco",USA
733,"Arakishvili, Dimitri (Ignat'yevich)",1873.0,1953.0,vladikavkaz,tbilisi,"Arakishvili, Dimitri",Russia
736,"Arámbarri (y Gárate), Jesús",1902.0,1960.0,bilbao,madrid,"Arámbarri, Jesús",Spain
737,"Aranaz y Vides, Pedro",1740.0,1740.0,tudela,tudela,"Aranaz y Vides, Pedro",Spain
745,"Arapov, Boris (Alexandrovich)",1905.0,1992.0,st,st,"Arapov, Boris",USA
748,"Arbós, Enrique Fernández",1863.0,1939.0,madrid,san,"Arbós, Enrique Fernández",Spain
749,Archer[,,,née,née,Archer,
751,"Arditi, Luigi",1822.0,1903.0,crescentino,hove,"Arditi, Luigi",Italy
754,"Arena, Giuseppe",1707.0,1784.0,valletta,napoli,"Arena, Giuseppe",Malta
761,"Arensky, Anton (Stepanovich)",1861.0,1906.0,novgorod,terijoki,"Arensky, Anton",Russia
764,"Argento, Dominick",1927.0,1927.0,york,york,"Argento, Dominick",UK
778,"d'Arienzo, Nicola",1842.0,1915.0,napoli,napoli,"dArienzo, Nicola",USA
791,"Ariosti, Attilio (Malachia [Clemente]) [Frate Ottavio]",1666.0,1729.0,bologna,england,"Ariosti, Attilio",Italy
814,"Arizaga, Rodolfo",1926.0,1985.0,buenos,buenos,"Arizaga, Rodolfo",Argentina
815,"Arkas, Nikolai",1853.0,1909.0,nikolaev,nikolaev,"Arkas, Nikolai",54000
816,"Arne, Michael",1740.0,1786.0,london,lambeth,"Arne, Michael",UK
844,"Arne, Thomas Augustine",1710.0,1778.0,london,london,"Arne, Thomas Augustine",UK
893,"Arnell, Richard (Anthony Sayer)",1917.0,1917.0,london,london,"Arnell, Richard",UK
897,"Arnold, György",1781.0,1848.0,paks,subotica,"Arnold, György",Hungary
900,"Arnold,",,,sir,sir,"Arnold,",USA
902,"Arnold [Strothotte], Maurice",1865.0,1937.0,st,new,"Arnold, Maurice",USA
904,"Arnold, Samuel",1740.0,1802.0,london,london,"Arnold, Samuel",UK
982,"Arnold, Yuri (Karlovich) [Jurig von]",1811.0,1898.0,st,karakesh,"Arnold, Yuri",USA
987,"Aroca y Ortega, Jesús",1877.0,1935.0,algete,madrid,"Aroca y Ortega, Jesús",Spain
988,"Arregui Garay, Vicente",1871.0,1925.0,madrid,madrid,"Arregui Garay, Vicente",Spain
996,"Arresti [Aresti], Floriano",1660.0,1719.0,bologna,bologna,"Arresti, Floriano",Italy
1001,"Arriaga (y Balzola), Juan Crisóstomo (Jacobo Antonio de)",1806.0,1826.0,rigoitia,paris,"Arriaga, Juan Crisóstomo",Spain
1002,"Arrieta y Corera,",,,don,don,"Arrieta y Corera,",USA
1013,"Arrieu, Claude",1903.0,1990.0,paris,paris,"Arrieu, Claude",France
1024,"Arrigo, Girolamo",1930.0,1930.0,palermo,palermo,"Arrigo, Girolamo",Italy
1026,"Arrigoni, Carlo",1697.0,1744.0,firenze,firenze,"Arrigoni, Carlo",Italy
1030,"Arroyo [Arroio], João Marcellino",1861.0,1930.0,oporto,colares,"Arroyo, João Marcellino",USA
1032,"Arundell [Arundel], Dennis (Drew)",1898.0,1988.0,finchley,london,"Arundell, Dennis",UK
1034,"Arutiunian [Harut'unyan], Alexander Grigori",1920.0,1920.0,erevan,erevan,"Arutiunian, Alexander Grigori",Armenia
1035,"Asafiev [Glebov, Igor], Boris (Vladimirovich)",1884.0,1949.0,st,moskva,"Asafiev, Boris",USA
1040,"Aschaffenburg, Walter (Eugene)",1927.0,1927.0,essen,essen,"Aschaffenburg, Walter",USA
1041,"Ascher, Leo",1880.0,1942.0,wien,new,"Ascher, Leo",Austria
1045,"Ascone, Vicente",1897.0,1979.0,siderno,montevideo,"Ascone, Vicente",Italy
1047,"Ásgeirsson, Jón",1928.0,1928.0,ísafjördur,ísafjördur,"Ásgeirsson, Jón",Iceland
1048,"Ashley, Robert (Reynolds)",1940.0,1940.0,ann,ann,"Ashley, Robert",USA
1059,"Ashrafi, Mukhtar",1912.0,1975.0,bukhara,tashkent,"Ashrafi, Mukhtar",Uzbekistan
1062,"Asioli, Bonifazio [Bonifacio]",1769.0,1832.0,correggio,correggio,"Asioli, Bonifazio",Italy
1068,"Aspa, Mario",1799.0,1868.0,messina,messina,"Aspa, Mario",Italy
1073,"Aspestrand, Sigwart",1856.0,1941.0,fredrikshald,oslo,"Aspestrand, Sigwart",Norway
1080,"Asplmayr [Aspelmayr, Aspelmeier, Asplmyer, Aschpellmayr, Appelmeyer], Franz",1728.0,1786.0,linz,wien,"Asplmayr, Franz",Austria
1085,"Astarita [Astaritta], Gennaro",1745.0,1803.0,napoli,,"Astarita, Gennaro",USA
1105,"Aston, Peter (George)",1938.0,1938.0,birmingham,birmingham,"Aston, Peter",UK
1106,"d'Astorga, Emanuele (Gioacchino Cesare Rincón)",1680.0,1757.0,baron,madrid,"dAstorga, Emanuele",USA
1109,"Atanasov [Athanassov], Georgi",1882.0,1931.0,plovdiv,fasana,"Atanasov, Georgi",Bulgaria
1116,"Atterberg, Kurt (Magnus)",1887.0,1974.0,göteborg,stockholm,"Atterberg, Kurt",Sweden
1123,"Attwood, Thomas",1765.0,1838.0,london,london,"Attwood, Thomas",UK
1154,"Auber, Daniel François Esprit",1782.0,1871.0,caen,paris,"Auber, Daniel François Esprit",France
1203,"Aubert, Jacques",,,,,"Aubert, Jacques",Thailand
1211,"Aubert, Louis-François-Marie",1877.0,1968.0,paramé,paris,"Aubert, Louis-François-Marie",France
1212,"Aubéry du Boulley, Prudent-Louis",1796.0,1869.0,verneuil,verneuil,"Aubéry du Boulley, Prudent-Louis",France
1213,"Aubin, Tony (Louis Alexandre)",1907.0,1981.0,paris,paris,"Aubin, Tony",France
1214,"Audinot, Nicolas-Médard",1732.0,1801.0,bourmont,paris,"Audinot, Nicolas-Médard",France
1215,"Audran, Edmond",1840.0,1901.0,lyon,tierceville,"Audran, Edmond",France
1236,"Auletta, Pietro",1698.0,1771.0,st,napoli,"Auletta, Pietro",USA
1250,"Aulí, Juan",1797.0,1869.0,felanitx,felanitx,"Aulí, Juan",Spain
1252,"Aumann [Aumonn, Aumon, Auman], Franz Josef [Franz-Seraph, Johann, Leopold]",1728.0,1797.0,traismauer,st,"Aumann, Franz Josef",Austria
1253,"Auric, Georges ",1899.0,1983.0,lodève,paris,"Auric, Georges",France
1255,"Aurisicchio [Eurisicchio, Eurisecchio, Orisecchio], Antonio",1710.0,1781.0,napoli,roma,"Aurisicchio, Antonio",USA
1262,"Austin, Frederic",1872.0,1952.0,london,london,"Austin, Frederic",UK
1263,"Auteri Manzocchi, Salvatore",1845.0,1924.0,palermo,parma,"Auteri Manzocchi, Salvatore",Italy
1270,"Averkamp, Anton",1861.0,1934.0,willige,bussum,"Averkamp, Anton",
1271,"Avidom [Mahler-Kalkstein], Menahem",1908.0,1995.0,stanislav,tel,"Avidom, Menahem",USA
1279,"Avondano, Pedro [Pietro[ Antonio",1714.0,1782.0,lisboa,lisboa,"Avondano, Pedro Pietro Antonio",Portugal
1282,"Avossa [d'Avossa, Avosa, Avos, d'Anosa], Giuseppe",1708.0,1796.0,paolo,napoli,"Avossa, Giuseppe",USA
1286,"Avshalomov, Aaron",1894.0,1965.0,nikolayevsk,new,"Avshalomov, Aaron",Russia
1288,"Azevedo da Silva,",,,conde,conde,"Azevedo da Silva,",France
1293,"Azkué (Aberasturi), Resurrección María de",1864.0,1951.0,lequeitio,bilbao,"Azkué, Resurrección María de",Spain
1301,"Azmayparashvili, Shalva",1903.0,1957.0,tbilisi,tbilisi,"Azmayparashvili, Shalva",Georgia
1302,"Azopardi, Francesco",1748.0,1809.0,rabat,rabat,"Azopardi, Francesco",Morocco
1303,"Babayev, Andrei",1923.0,1964.0,azerbaijan,moskva,"Babayev, Andrei",Azerbaijan
1304,"Babbi, (Pietro Giovanni) Cristoforo (Bartolomeo Gasparre)",1745.0,1814.0,cesena,dresden,"Babbi, Cristoforo",Italy
1305,"Bacarisse, Salvador",1898.0,1963.0,madrid,paris,"Bacarisse, Salvador",Spain
1309,"Baccelli, Matteo Pantaleone [Papia Leone]",1690.0,1760.0,lucca,lucca,"Baccelli, Matteo Pantaleone",Italy
1310,"Bacewicz, Grazyna",1909.0,1969.0,lódz,warszawa,"Bacewicz, Grazyna",Poland
1311,"Bach, Jan (Morris)",1937.0,1937.0,forrest,forrest,"Bach, Jan",Australia
1313,"Bach, Johann [John] Christian",1735.0,1782.0,leipzig,london,"Bach, Johann Christian",Germany
1328,"Bach, Johann Christoph Friedrich",1732.0,1795.0,leipzig,bückeburg,"Bach, Johann Christoph Friedrich",Germany
1331,"Bach, Leonhard Emil",1849.0,1902.0,poznan,london,"Bach, Leonhard Emil",Poland
1334,"Bache, Francis Edward",1833.0,1858.0,birmingham,birminghan,"Bache, Francis Edward",UK
1336,"Bachelet, Alfred",1864.0,1944.0,paris,nancy,"Bachelet, Alfred",France
1339,"Bachrich, Sigmund [Sigismund]",1841.0,1913.0,zsambokreth,wien,"Bachrich, Sigmund",Slovakia
1343,"Bachschmidt [Bachschmid], (Johann) Anton (Adam)",1728.0,1797.0,melk,eichstätt,"Bachschmidt, Anton",Austria
1351,"Bäck, Sven-Erik",1919.0,1919.0,stockholm,stockholm,"Bäck, Sven-Erik",Sweden
1354,"Bacon, Ernst",1898.0,1980.0,chicago,orinda,"Bacon, Ernst",USA
1356,"Badia, Carlo Agostino",1672.0,1738.0,venezia,wien,"Badia, Carlo Agostino",Italy
1381,"Badings, Henk",1907.0,1987.0,bandung,vijlen,"Badings, Henk",Indonesia
1387,"Baeyens, August",1895.0,1966.0,antwerpen,antwerpen,"Baeyens, August",Belgium
1391,"Baguer, Carlos",1768.0,1808.0,barcelona,barcelona,"Baguer, Carlos",Spain
1392,"Baillou, Luigi de",1735.0,1809.0,milano,milano,"Baillou, Luigi de",Italy
1394,"Bainton, Edgar (Leslie)",1880.0,1956.0,london,sydney,"Bainton, Edgar",UK
1399,"Baird, Tadeusz",1928.0,1981.0,grodzisk,warszawa,"Baird, Tadeusz",Poland
1400,"Balada, Leonardo",1933.0,1933.0,barcelona,barcelona,"Balada, Leonardo",Spain
1403,"Balanchivadze, Andrey (Melitonovich)",1906.0,1992.0,st,tbilisi,"Balanchivadze, Andrey",USA
1405,"Balanchivadze, Meliton (Antonovich)",1862.0,1937.0,banodzha,kutaisi,"Balanchivadze, Meliton",India
1407,"Balart, Gabriel",1824.0,1893.0,barcelona,barcelona,"Balart, Gabriel",Spain
1408,"Balasanian, Sergey Artem'yevich",1902.0,1982.0,ashkhabad,moskva,"Balasanian, Sergey Artemyevich",Turkmenistan
1412,"Balbi, Ignazio",,,,,"Balbi, Ignazio",Thailand
1413,"Balbi, Melchiore",1796.0,1879.0,venezia,padova,"Balbi, Melchiore",Italy
1416,"Baldassare [Baldassari], Pietro",1690.0,1768.0,roma,,"Baldassare, Pietro",Italy
1417,"Balfe, Michael William",1808.0,1870.0,dublin,rowney,"Balfe, Michael William",Ireland
1446,"Baliani [Bagliani, Balliani, Basiliani], Carlo",1680.0,1747.0,milano,milano,"Baliani, Carlo",Italy
1447,"Ballaroti, Francesco",1660.0,1712.0,,bergamo,"Ballaroti, Francesco",Thailand
1457,"Balmer, Luc",1898.0,1898.0,münchen,münchen,"Balmer, Luc",Germany
1458,"Banevich, Sergei",1941.0,1941.0,okhansk,okhansk,"Banevich, Sergei",618100
1461,"Banshchikov, Gennadi",1943.0,1943.0,kazan,kazan,"Banshchikov, Gennadi",Russia
1466,"Bantock,",,,sir,sir,"Bantock,",USA
1470,"Baranovic, Kresimir",1894.0,1975.0,sibenik,beograd,"Baranovic, Kresimir",Croatia
1472,"Barati, George",1913.0,1996.0,györ,san,"Barati, George",Hungary
1473,"Barbella, Emanuele",1718.0,1777.0,napoli,napoli,"Barbella, Emanuele",USA
1474,"Barber, Samuel",1910.0,1981.0,west,new,"Barber, Samuel",USA
1479,"Barbier, René (Auguste-Ernest)",1890.0,1981.0,namur,bruxelles,"Barbier, René",Belgium
1482,"Barbieri, Carlo Emanuele [de]",1822.0,1867.0,genova,pest,"Barbieri, Carlo Emanuele",Italy
1487,"Barbieri, Francisco Asenjo",1823.0,1894.0,madrid,madrid,"Barbieri, Francisco Asenjo",Spain
1508,"Barbosa de Araújo, Damião",1778.0,1856.0,itaparica,salvador,"Barbosa de Araújo, Damião",Brazil
1509,"Bárdos, Lajos",1899.0,1899.0,budapest,budapest,"Bárdos, Lajos",Hungary
1520,"Bargielski, Zbigniew",1937.0,1937.0,lomza,lomza,"Bargielski, Zbigniew",Poland
1525,"Barilli, Bruno",1880.0,1952.0,fano,roma,"Barilli, Bruno",Italy
1527,"Barkauskas, Vytautas",1931.0,1931.0,kaunas,kaunas,"Barkauskas, Vytautas",Lithuania
1528,"Barkin, Elaine R(adoff)",1932.0,1932.0,new,new,"Barkin, Elaine R",USA
1529,"Barkworth, John (Edmond)",1858.0,1929.0,beverly,génève,"Barkworth, John",USA
1532,"Barlow, David (Frederick)",1927.0,1927.0,rothwell,rothwell,"Barlow, David",USA
1535,"Barlow, Fred",1881.0,1951.0,mulhouse,boulogne,"Barlow, Fred",France
1537,"Barlow, Samuel (Latham Mitchill)",1892.0,1982.0,new,wyndmoor,"Barlow, Samuel",USA
1540,"Barnett, John",1802.0,1890.0,bedford,leckhampton,"Barnett, John",USA
1557,"Barraine, Elsa (Jacqueline)",1910.0,1999.0,paris,strasbourg,"Barraine, Elsa",France
1558,"Barraud, Henry",1900.0,1997.0,bordeaux,paris,"Barraud, Henry",France
1561,"Barrera Gómez, Enrique",1844.0,1922.0,valladolid,valladolid,"Barrera Gómez, Enrique",Spain
1563,"Barrière, Etienne-Bernard-Joseph",1748.0,1816.0,valenciennes,paris,"Barrière, Etienne-Bernard-Joseph",France
1564,"Barrios Fernandez, Angel",1882.0,1964.0,granada,madrid,"Barrios Fernandez, Angel",Spain
1572,"Bárta [Barrta, Bartha, Bartta], Josef",1746.0,1787.0,praha,wien,"Bárta, Josef",Czechia
1576,"Bartay, András [Andreas]",1799.0,1854.0,széplak,mainz,"Bartay, András",Romania
1579,"Bartels, Wolfgang von",1883.0,1938.0,hamburg,münchen,"Bartels, Wolfgang von",Germany
1581,"Barth, Hans",1897.0,1956.0,leipzig,jacksonville,"Barth, Hans",Germany
1582,"Barthe, Grat-Norbert",1828.0,1898.0,bayonne,asnières,"Barthe, Grat-Norbert",USA
1584,"Barthélémon, François-Hippolyte",1741.0,1808.0,bordeaux,london,"Barthélémon, François-Hippolyte",France
1599,"Bartlett, Homer Newton",1845.0,1920.0,olive,hoboken,"Bartlett, Homer Newton",USA
